13. PUENTE DE VALLECAS. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;
 ;CIUDAD;;PUENTE DE VALLECAS;;Entrevías;;San Diego;;Palomeras Bajas;;Palomeras Sureste;;Portazgo;;Numancia;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;1.496,86;;597,19;;106,99;;172,39;;310,86;;124,53;;184,91;
Formación profesional 2º grado, Bachiller Superior o BUP;19,1%;475.507;17,0%;29.849;12,8%;3.300;17,4%;5.272;20,3%;6.002;16,9%;5.424;15,2%;3.288;18,2%;6.563
Titulados medios, diplomados, arquitecto o ingeniero técnico;9,7%;240.663;5,4%;9.399;3,2%;812;5,4%;1.627;7,0%;2.076;5,4%;1.742;4,6%;989;6,0%;2.153
Estudios superiores, licenciado, arquitecto o ingeniero superior, estudios superiores no universitarios, doctorado, estudios postgraduados;27,3%;681.198;9,0%;15.873;4,9%;1.254;9,1%;2.756;11,9%;3.528;9,1%;2.921;7,3%;1.573;10,6%;3.841
Nivel de estudios desconocido y no consta;0,1%;3.467;0,1%;221;0,1%;23;0,1%;21;0,2%;45;0,1%;36;0,2%;50;0,1%;46
1.5.4. Programa de prevención y control del absentismo escolar;;;;;;;;;;;;;;;;
Casos trabajados por el programa de absentismo municipal (curso escolar 2017-2018);100,0%;3.901;14,3%;556;;;;;;;;;;;;
Casos trabajados HOMBRES;50,1%;1.955;51,3%;285;;;;;;;;;;;;
Casos trabajados MUJERES;49,9%;1.946;48,7%;271;;;;;;;;;;;;
1.6. SALUD;;;;;;;;;;;;;;;;
1.6.1. Hábitos y estilos de vida (2017. Estudio Madrid Salud);;;;;;;;;;;;;;;;
Sedentarismo;30,0%;;37,8%;;;;;;;;;;;;;
Sedentarismo HOMBRES ;25,2%;;;;;;;;;;;;;;;
Sedentarismo MUJERES ;34,0%;;;;;;;;;;;;;;;
Consumo de tabaco diario;18,9%;;22,2%;;;;;;;;;;;;;
Consumo de tabaco diario HOMBRES;20,2%;;;;;;;;;;;;;;;
Consumo de tabaco diario MUJERES ;17,9%;;;;;;;;;;;;;;;
Consumo de medicamentos ;66,3%;;67,6%;;;;;;;;;;;;;
Consumo de medicamentos HOMBRES  ;62,4%;;;;;;;;;;;;;;;
Consumo de medicamentos MUJERES ;69,7%;;;;;;;;;;;;;;;
1.6.2. Indicadores de nivel de salud (2017. Estudio Madrid Salud);;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud  (% respuesta muy buena + buena);72,3%;;68,3%;;;;;;;;;;;;;
Autopercepción de buen estado de salud HOMBRES ;77,4%;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud MUJERES ;68,0%;;;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) ;20,2%;;20,8%;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) HOMBRES;19,0%;;;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) MUJERES;21,1%;;;;;;;;;;;;;;;
Presencia de enfermedad crónica ;39,8%;;40,6%;;;;;;;;;;;;;
Presencia de enfermedad crónica HOMBRES ;36,6%;;;;;;;;;;;;;;;
Presencia de enfermedad crónica MUJERES;42,4%;;;;;;;;;;;;;;;
Hipertensión arterial;18,8%;;21,3%;;;;;;;;;;;;;
Hipertensión arterial HOMBRES;19,7%;;;;;;;;;;;;;;;
Hipertensión arterial MUJERES;18,1%;;;;;;;;;;;;;;;
Diabetes Mellitus;6,0%;;7,2%;;;;;;;;;;;;;
Diabetes Mellitus HOMBRES;6,9%;;;;;;;;;;;;;;;
Diabetes Mellitus MUJERES;5,3%;;;;;;;;;;;;;;;
Personas con obesidad ;12,2%;;15,2%;;;;;;;;;;;;;
Personas con obesidad HOMBRES ;13,3%;;;;;;;;;;;;;;;
Personas con obesidad MUJERES;11,2%;;;;;;;;;;;;;;;
Personas con sobrepeso;33,5%;;35,2%;;;;;;;;;;;;;
Personas con sobrepeso HOMBRES;41,1%;;;;;;;;;;;;;;;
Personas con sobrepeso MUJERES;27,0%;;;;;;;;;;;;;;;
Personas mayores de 65 años con alguna dependencia funcional;32,4%;;37,6%;;;;;;;;;;;;;
Alguna dependencia funcional HOMBRES ;39,1%;;;;;;;;;;;;;;;
Alguna dependencia funcional MUJERES;48,6%;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12);21,1%;;22,0%;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12) HOMBRES;16,6%;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad (GHQ-12) MUJERES;24,9%;;;;;;;;;;;;;;;
Prevalencia de obesidad en la población infantil (2017. Estudio Madrid Salud. UCM);15,8%;;21,0%;;;;;;;;;;;;;
1.6.3. Discapacidad reconocida (31/12/2015);;;;;;;;;;;;;;;;
Nº de personas con grado de discapacidad reconocido;5,6%;180.040;7,1%;16.459;;;;;;;;;;;;
Hombres;48,1%;86.609;48,2%;7.928;;;;;;;;;;;;
Mujeres;51,9%;93.431;51,8%;8.531;;;;;;;;;;;;
Mujeres por cada 100 hombres (Feminización de la discapacidad reconocida);;107,9;;107,6;;;;;;;;;;;;
1.7. CALIDAD DE VIDA  (2017. Estudio >16 años);;;;;;;;;;;;;;;;
1.7.1. Calidad de vida y agenda pública (indicador sintético 0-100);;;;;;;;;;;;;;;;
Satisfacción de vivir en su barrio ;;69,8;;62,2;;;;;;;;;;;;
Calidad de vida actual en su barrio ;;69,5;;61,2;;;;;;;;;;;;
Convivencia vecinal;;67,8;;66,1;;;;;;;;;;;;
1.7.2. Satisfacción con los servicios públicos (escala 0-10);;;;;;;;;;;;;;;;
Espacios verdes;;6,6;;6,9;;;;;;;;;;;;
Parques infantiles ;;6,3;;6,2;;;;;;;;;;;;
Centros culturales;;6,9;;7,0;;;;;;;;;;;;
Organización de fiestas y eventos populares;;6,7;;7,1;;;;;;;;;;;;
Instalaciones deportivas;;6,7;;6,9;;;;;;;;;;;;
Servicios sociales municipales;;6,6;;6,7;;;;;;;;;;;;
Desigualdad en las dotaciones de los barrios (% respuesta muy alta + alta);82,9%;;88,8%;;;;;;;;;;;;;
1.7.3. Principales problemas de la ciudadanía (% personas encuestadas);;;;;;;;;;;;;;;;
1º. Limpieza;41,1%;;40,6%;;;;;;;;;;;;;
2º. Contaminación del aire;15,0%;;12,6%;;;;;;;;;;;;;
3º. Tráfico / atascos;10,8%;;0,0%;;;;;;;;;;;;;
1.7.4. Percepción de seguridad (indicador sintético 0-100);;;;;;;;;;;;;;;;
Percepción de seguridad en Madrid;;69,0;;70,6;;;;;;;;;;;;
Percepción de seguridad en el barrio por el día;;75,4;;68,0;;;;;;;;;;;;
Percepción de seguridad en el barrio por la noche;;61,6;;43,0;;;;;;;;;;;;
1.7.5. Problemas que afectan a la seguridad en los espacios públicos del distrito (escala 0-10);;;;;;;;;;;;;;;;
1º. Residuos por excrementos de animales domésticos;;6,7;;7,8;;;;;;;;;;;;
2º. Personas orinando en la calle;;4,5;;6,8;;;;;;;;;;;;
