19. VICÁLVARO. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;
 ;CIUDAD;;VICÁLVARO;;Casco Histórico de Vicálvaro;;Valdebernardo;;Valderrivas;;El Cañaveral;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;
1.9.3. Menores y Familia (2017);;;;;;;;;;;;;;;;
Familias atendidas por el Equipo de Trabajo con Menores y Familia (ETMF);;7.519;3,6%;268;;;;;;;;;;;;
Demandas de intervención en los Centros de Atención a la Infancia (CAI);;2.130;2,9%;62;;;;;;;;;;;;
Menores atendidos por el Servicio de Ayuda a domicilio a Menores y Familias (SAD) ;;1.361;2,7%;37;;;;;;;;;;;;
1.10. VIVIENDA;;;;;;;;;;;;;;;;
1.10.1. PLAN MAD-RE: PLAN ESTRATÉGICO MADRID RECUPERA (Programa de actuaciones 2018-2030);;;;;;;;;;;;;;;;
Planes Integrales Territoriales de Barrios Apirus;;48;2,1%;1;;;;;;;;;;;;
Planes Integrales Territoriales de Ordenación y Gestión;;71;5,6%;4;;;;;;;;;;;;
Proyecto Estratégico Ambiental;;13;15,4%;2;;;;;;;;;;;;
Proyecto Estratégico de Espacio Público;;140;3,6%;5;;;;;;;;;;;;
Proyecto Estratégico de Movilidad;;103;5,8%;6;;;;;;;;;;;;
1.10.2. Estado de las viviendas;;;;;;;;;;;;;;;;
Nº Total de viviendas (Censo Edificios y Viviendas 2011);100%;1.530.955;100%;30.305;;;;;;;;;;;;
Viviendas anteriores a 1980;69,4%;1.061.825;43,0%;13.025;;;;;;;;;;;;
Estado ruinoso;0,2%;3.445;0,0%;0;;;;;;;;;;;;
Estado malo;0,8%;12.705;0,2%;75;;;;;;;;;;;;
Estado deficiente;4,4%;66.775;2,2%;675;;;;;;;;;;;;
Estado bueno;92,8%;1.420.265;90,9%;27.550;;;;;;;;;;;;
No consta;1,8%;27.770;6,6%;2.005;;;;;;;;;;;;
Valor catastral medio de los bienes inmuebles: personas físicas (2018);;91.159,1 €;66,5%;60.666,2 €;89,3%;54.182 €;101,8%;61.755 €;127,0%;77.028 €;174,9%;106.108 €;;;;
Valor catastral medio de los bienes inmuebles: personas jurídicas (2018);;370.572,5 €;52,9%;195.944,2 €;195,1%;382.243 €;97,3%;190.645 €;66,8%;130.917 €;222,0%;435.000 €;;;;
Superficie media de la vivienda (m2) en transacción (2017);;84;83,6%;70;86,6%;61;123,0%;86;129,8%;91;117,4%;82;;;;
Duración media del crédito (meses) en transacción de vivienda (2017);;296;94,6%;280;111,8%;313;106,1%;297;70,7%;198;135,4%;379;;;;
1.10.3. Tipología de las viviendas ;;;;;;;;;;;;;;;;
Nº Total de viviendas familiares (Censo Edificios y Viviendas 2001);100,0%;1.378.931;100,0%;23.838;100,0%;15.912;100,0%;7.926;;;;;;;;
Principal;78,3%;1.080.306;78,4%;18.679;74,4%;11.846;86,2%;6.833;;;;;;;;
Secundaria;7,7%;106.192;3,1%;737;3,1%;497;3,0%;240;;;;;;;;
Desocupada;12,9%;178.377;17,9%;4.260;21,4%;3.412;10,7%;848;;;;;;;;
Otro tipo;1,0%;13.998;0,5%;127;0,8%;122;0,1%;5;;;;;;;;
1.10.4. Lanzamientos judiciales (Consejo General del Poder Judicial);;;;;;;;;;;;;;;;
