20. SAN BLAS-CANILLEJAS. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;SAN BLAS-CANILLEJAS;;Simancas;;Hellín;;Amposta;;Arcos;;Rosas;;Rejas;;Canillejas;;El Salvador;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;2.229;;227,63;;55,06;;37,03;;130,52;;929,65;;501,57;;159,77;;188,01;;;;;;;;;
Nivel de estudios desconocido y no consta;0,1%;3.253;0,1%;122;0,1%;15;0,2%;15;0,1%;9;0,1%;22;0,0%;9;0,1%;11;0,1%;27;0,2%;14;;;;;;;;
1.5.4. Programa de prevención y control del absentismo escolar;;2.525.009;1;118.586;1;21.178;1;7.241;1;6.473;1;18.056;1;22.223;1;12.166;1;22.548;1;8.701;;;;;;;;
Casos trabajados por el programa de absentismo municipal (curso escolar 2018-2019);100,0%;4.025;4,3%;175;;;;;;;;;;;;;;;;;;;;;;;;
Casos trabajados HOMBRES;51,2%;2.060;46,3%;81;;;;;;;;;;;;;;;;;;;;;;;;
Casos trabajados MUJERES;48,8%;1.965;53,7%;94;;;;;;;;;;;;;;;;;;;;;;;;
1.6. SALUD;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.6.1. Hábitos y estilos de vida (2017-18. Estudio Madrid Salud);;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sedentarismo;30,0%;;31,1%;;;;;;;;;;;;;;;;;;;;;;;;;
Sedentarismo HOMBRES ;25,2%;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sedentarismo MUJERES ;34,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;
Consumo de tabaco diario;18,9%;;20,6%;;;;;;;;;;;;;;;;;;;;;;;;;
Consumo de tabaco diario HOMBRES;20,2%;;;;;;;;;;;;;;;;;;;;;;;;;;;
Consumo de tabaco diario MUJERES ;17,9%;;;;;;;;;;;;;;;;;;;;;;;;;;;
Consumo de medicamentos ;66,3%;;66,3%;;;;;;;;;;;;;;;;;;;;;;;;;
Consumo de medicamentos HOMBRES  ;62,4%;;;;;;;;;;;;;;;;;;;;;;;;;;;
Consumo de medicamentos MUJERES ;69,7%;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.6.2. Indicadores de nivel de salud (2017-18. Estudio Madrid Salud);;;;;;;;;;;;;;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud  (% respuesta muy buena + buena);72,3%;;73,5%;;;;;;;;;;;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud HOMBRES ;77,4%;;;;;;;;;;;;;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud MUJERES ;68,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) ;20,2%;;20,4%;;;;;;;;;;;;;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) HOMBRES;19,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) MUJERES;21,1%;;;;;;;;;;;;;;;;;;;;;;;;;;;
Presencia de enfermedad crónica ;39,8%;;40,7%;;;;;;;;;;;;;;;;;;;;;;;;;
Presencia de enfermedad crónica HOMBRES ;36,6%;;;;;;;;;;;;;;;;;;;;;;;;;;;
Presencia de enfermedad crónica MUJERES;42,4%;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hipertensión arterial;18,8%;;21,0%;;;;;;;;;;;;;;;;;;;;;;;;;
Hipertensión arterial HOMBRES;19,7%;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hipertensión arterial MUJERES;18,1%;;;;;;;;;;;;;;;;;;;;;;;;;;;
Diabetes Mellitus;6,0%;;5,2%;;;;;;;;;;;;;;;;;;;;;;;;;
Diabetes Mellitus HOMBRES;6,9%;;;;;;;;;;;;;;;;;;;;;;;;;;;
Diabetes Mellitus MUJERES;5,3%;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas con obesidad ;12,2%;;13,1%;;;;;;;;;;;;;;;;;;;;;;;;;
Personas con obesidad HOMBRES ;13,3%;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas con obesidad MUJERES;11,2%;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas con sobrepeso;33,5%;;36,0%;;;;;;;;;;;;;;;;;;;;;;;;;
Personas con sobrepeso HOMBRES;41,1%;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas con sobrepeso MUJERES;27,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;
Personas mayores de 65 años con alguna dependencia funcional;32,4%;;40,3%;;;;;;;;;;;;;;;;;;;;;;;;;
Alguna dependencia funcional HOMBRES ;39,1%;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alguna dependencia funcional MUJERES;48,6%;;;;;;;;;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12);21,1%;;22,9%;;;;;;;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12) HOMBRES;16,6%;;;;;;;;;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad (GHQ-12) MUJERES;24,9%;;;;;;;;;;;;;;;;;;;;;;;;;;;
Prevalencia de obesidad en la población infantil (2017. Estudio Madrid Salud. UCM);15,8%;;17,1%;;;;;;;;;;;;;;;;;;;;;;;;;
1.6.3. Discapacidad reconocida (31/12/2018);;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nº de personas con grado de discapacidad reconocido;6,1%;200.604;4,6%;9.177;;;;;;;;;;;;;;;;;;;;;;;;
Hombres;48,0%;96.322;51,3%;4.710;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres;52,0%;104.282;48,7%;4.467;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres por cada 100 hombres (Feminización de la discapacidad reconocida);;108,3;;94,84;;;;;;;;;;;;;;;;;;;;;;;;
1.7. CALIDAD DE VIDA  (2019. Encuesta, más de 16 años);;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.7.1. Calidad de vida y agenda pública (indicador sintético 0-100);;;;;;;;;;;;;;;;;;;;;;;;;;;;
Satisfacción de vivir en su barrio ;;72,0;;67,8;;;;;;;;;;;;;;;;;;;;;;;;
Calidad de vida actual en su barrio ;;71,3;;70,3;;;;;;;;;;;;;;;;;;;;;;;;
Convivencia vecinal;;69,5;;69,9;;;;;;;;;;;;;;;;;;;;;;;;
