02. ARGANZUELA. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;ARGANZUELA;;Imperial;;Las Acacias;;La Chopera;;Legazpi;;Las Delicias;;Palos de Moguer;;Atocha;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;646,22;;96,77;;107,34;;56,78;;141,45;;105,47;;64,84;;73,57;;
En centros PRIVADOS CONCERTADOS;50,1%;9.977;55,7%;328;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;3,8%;764;0,5%;3;;;;;;;;;;;;;;;
En centros PÚBLICOS;46,1%;9.170;43,8%;258;;;;;;;;;;;;;;;
1.5.3. Nivel de estudios de la población ≥ 25 años (01/01/2018);;;;;;;;;;;;;;;;;;;
No sabe leer ni escribir o sin estudios;5,2%;129.614;2,7%;3.322;2,5%;451;2,6%;764;4,0%;656;1,3%;184;2,5%;534;3,3%;714;2,4%;19;
Primaria incompleta;12,1%;301.397;8,7%;10.653;8,8%;1.606;8,7%;2.582;11,5%;1.887;4,7%;653;8,3%;1.767;9,8%;2.096;7,8%;62;
Bachiller Elemental, Graduado Escolar, ESO, Formación profesional 1º grado;26,5%;659.083;20,3%;24.703;18,7%;3.409;17,9%;5.325;27,7%;4.519;14,2%;1.971;21,0%;4.498;22,2%;4.779;25,3%;202;
Formación profesional 2º grado, Bachiller Superior o BUP;19,1%;475.507;19,7%;24.012;20,6%;3.759;19,7%;5.839;20,9%;3.409;18,6%;2.584;19,3%;4.118;19,1%;4.108;24,4%;195;
Titulados medios, diplomados, arquitecto o ingeniero técnico;9,7%;240.663;12,5%;15.208;12,6%;2.307;13,0%;3.873;10,2%;1.673;15,4%;2.136;12,7%;2.708;11,2%;2.406;13,1%;105;
Estudios superiores, licenciado, arquitecto o ingeniero superior, estudios superiores no universitarios, doctorado, estudios postgraduados;27,3%;681.198;35,9%;43.812;36,7%;6.699;37,8%;11.225;25,6%;4.182;45,8%;6.369;36,2%;7.749;34,3%;7.372;27,0%;216;
