19. VICÁLVARO. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;VICÁLVARO;;Casco Histórico de Vicálvaro;;Valdebernardo;;Valderrivas;;El Cañaveral;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;
Diabetes Mellitus HOMBRES;6,9%;;;;;;;;;;;;;;;;;;;
Diabetes Mellitus MUJERES;5,3%;;;;;;;;;;;;;;;;;;;
Personas con obesidad ;12,2%;;13,2%;;;;;;;;;;;;;;;;;
Personas con obesidad HOMBRES ;13,3%;;;;;;;;;;;;;;;;;;;
Personas con obesidad MUJERES;11,2%;;;;;;;;;;;;;;;;;;;
Personas con sobrepeso;33,5%;;40,3%;;;;;;;;;;;;;;;;;
Personas con sobrepeso HOMBRES;41,1%;;;;;;;;;;;;;;;;;;;
Personas con sobrepeso MUJERES;27,0%;;;;;;;;;;;;;;;;;;;
Personas mayores de 65 años con alguna dependencia funcional;32,4%;;50,2%;;;;;;;;;;;;;;;;;
Alguna dependencia funcional HOMBRES ;39,1%;;;;;;;;;;;;;;;;;;;
Alguna dependencia funcional MUJERES;48,6%;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12);21,1%;;24,6%;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12) HOMBRES;16,6%;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad (GHQ-12) MUJERES;24,9%;;;;;;;;;;;;;;;;;;;
Prevalencia de obesidad en la población infantil (2017. Estudio Madrid Salud. UCM);15,8%;;17,1%;;;;;;;;;;;;;;;;;
1.6.3. Discapacidad reconocida (31/12/2018);;;;;;;;;;;;;;;;;;;;
Nº de personas con grado de discapacidad reconocido;6,1%;200.604;2,1%;4.148;;;;;;;;;;;;;;;;
Hombres;48,0%;96.322;49,9%;2.069;;;;;;;;;;;;;;;;
Mujeres;52,0%;104.282;50,1%;2.079;;;;;;;;;;;;;;;;
Mujeres por cada 100 hombres (Feminización de la discapacidad reconocida);;108,3;;100,48;;;;;;;;;;;;;;;;
1.7. CALIDAD DE VIDA  (2019. Encuesta, más de 16 años);;;;;;;;;;;;;;;;;;;;
1.7.1. Calidad de vida y agenda pública (indicador sintético 0-100);;;;;;;;;;;;;;;;;;;;
Satisfacción de vivir en su barrio ;;72,0;;72,6;;;;;;;;;;;;;;;;
Calidad de vida actual en su barrio ;;71,3;;72,1;;;;;;;;;;;;;;;;
Convivencia vecinal;;69,5;;66,6;;;;;;;;;;;;;;;;
1.7.2. Satisfacción con los servicios públicos (escala 0-10);;;;;;;;;;;;;;;;;;;;
Espacios verdes;;6,9;;7,5;;;;;;;;;;;;;;;;
Parques infantiles ;;6,4;;7,1;;;;;;;;;;;;;;;;
Centros culturales;;7,0;;7,5;;;;;;;;;;;;;;;;
Organización de fiestas y eventos populares;;6,7;;7,1;;;;;;;;;;;;;;;;
Instalaciones deportivas;;6,7;;7,5;;;;;;;;;;;;;;;;
Servicios sociales municipales;;6,5;;7,3;;;;;;;;;;;;;;;;
Desigualdad en las dotaciones de los barrios (% respuesta muy alta + alta);78,4%;;82,1%;;;;;;;;;;;;;;;;;
