03. RETIRO. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;
 ;CIUDAD;;RETIRO;;Pacífico;;Adelfas;;La Estrella;;Ibiza;;Los Jerónimos;;Niño Jesús;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;546,62;;75,83;;64,08;;102,55;;49,2;;190,64;;64,33;
Bachiller Elemental, Graduado Escolar, ESO, Formación profesional 1º grado;26,5%;659.083;16,1%;15.372;17,8%;4.905;18,1%;2.637;14,7%;2.739;16,5%;2.857;14,0%;810;12,2%;1.424
Formación profesional 2º grado, Bachiller Superior o BUP;19,1%;475.507;19,6%;18.721;20,7%;5.678;20,1%;2.936;19,4%;3.612;19,0%;3.293;19,7%;1.140;17,6%;2.062
Titulados medios, diplomados, arquitecto o ingeniero técnico;9,7%;240.663;12,6%;12.018;13,1%;3.589;13,0%;1.892;13,6%;2.525;11,2%;1.950;11,2%;650;12,1%;1.412
Estudios superiores, licenciado, arquitecto o ingeniero superior, estudios superiores no universitarios, doctorado, estudios postgraduados;27,3%;681.198;42,9%;40.955;38,1%;10.479;37,9%;5.524;44,7%;8.299;44,2%;7.668;48,5%;2.805;52,8%;6.180
Nivel de estudios desconocido y no consta;0,1%;3.467;0,1%;142;0,1%;39;0,1%;21;0,1%;22;0,2%;28;0,2%;10;0,2%;22
1.5.4. Programa de prevención y control del absentismo escolar;;;;;;;;;;;;;;;;
Casos trabajados por el programa de absentismo municipal (curso escolar 2017-2018);100,0%;3.901;0,7%;28;;;;;;;;;;;;
Casos trabajados HOMBRES;50,1%;1.955;35,7%;10;;;;;;;;;;;;
Casos trabajados MUJERES;49,9%;1.946;64,3%;18;;;;;;;;;;;;
1.6. SALUD;;;;;;;;;;;;;;;;
1.6.1. Hábitos y estilos de vida (2017. Estudio Madrid Salud);;;;;;;;;;;;;;;;
Sedentarismo;30,0%;;24,4%;;;;;;;;;;;;;
Sedentarismo HOMBRES ;25,2%;;;;;;;;;;;;;;;
Sedentarismo MUJERES ;34,0%;;;;;;;;;;;;;;;
Consumo de tabaco diario;18,9%;;15,3%;;;;;;;;;;;;;
Consumo de tabaco diario HOMBRES;20,2%;;;;;;;;;;;;;;;
Consumo de tabaco diario MUJERES ;17,9%;;;;;;;;;;;;;;;
Consumo de medicamentos ;66,3%;;68,0%;;;;;;;;;;;;;
Consumo de medicamentos HOMBRES  ;62,4%;;;;;;;;;;;;;;;
Consumo de medicamentos MUJERES ;69,7%;;;;;;;;;;;;;;;
1.6.2. Indicadores de nivel de salud (2017. Estudio Madrid Salud);;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud  (% respuesta muy buena + buena);72,3%;;77,2%;;;;;;;;;;;;;
Autopercepción de buen estado de salud HOMBRES ;77,4%;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud MUJERES ;68,0%;;;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) ;20,2%;;19,9%;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) HOMBRES;19,0%;;;;;;;;;;;;;;;
Calidad de vida relacionada con la salud (CVRS) MUJERES;21,1%;;;;;;;;;;;;;;;
Presencia de enfermedad crónica ;39,8%;;39,5%;;;;;;;;;;;;;
Presencia de enfermedad crónica HOMBRES ;36,6%;;;;;;;;;;;;;;;
Presencia de enfermedad crónica MUJERES;42,4%;;;;;;;;;;;;;;;
Hipertensión arterial;18,8%;;19,5%;;;;;;;;;;;;;
Hipertensión arterial HOMBRES;19,7%;;;;;;;;;;;;;;;
Hipertensión arterial MUJERES;18,1%;;;;;;;;;;;;;;;
Diabetes Mellitus;6,0%;;6,0%;;;;;;;;;;;;;
Diabetes Mellitus HOMBRES;6,9%;;;;;;;;;;;;;;;
Diabetes Mellitus MUJERES;5,3%;;;;;;;;;;;;;;;
Personas con obesidad ;12,2%;;9,9%;;;;;;;;;;;;;
Personas con obesidad HOMBRES ;13,3%;;;;;;;;;;;;;;;
Personas con obesidad MUJERES;11,2%;;;;;;;;;;;;;;;
Personas con sobrepeso;33,5%;;37,0%;;;;;;;;;;;;;
Personas con sobrepeso HOMBRES;41,1%;;;;;;;;;;;;;;;
Personas con sobrepeso MUJERES;27,0%;;;;;;;;;;;;;;;
Personas mayores de 65 años con alguna dependencia funcional;32,4%;;42,4%;;;;;;;;;;;;;
Alguna dependencia funcional HOMBRES ;39,1%;;;;;;;;;;;;;;;
Alguna dependencia funcional MUJERES;48,6%;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12);21,1%;;18,1%;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12) HOMBRES;16,6%;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad (GHQ-12) MUJERES;24,9%;;;;;;;;;;;;;;;
Prevalencia de obesidad en la población infantil (2017. Estudio Madrid Salud. UCM);15,8%;;10,5%;;;;;;;;;;;;;
1.6.3. Discapacidad reconocida (31/12/2015);;;;;;;;;;;;;;;;
Nº de personas con grado de discapacidad reconocido;5,6%;180.040;4,9%;5.788;;;;;;;;;;;;
Hombres;48,1%;86.609;46,6%;2.699;;;;;;;;;;;;
Mujeres;51,9%;93.431;53,4%;3.089;;;;;;;;;;;;
Mujeres por cada 100 hombres (Feminización de la discapacidad reconocida);;107,9;;114,4;;;;;;;;;;;;
1.7. CALIDAD DE VIDA  (2017. Estudio >16 años);;;;;;;;;;;;;;;;
1.7.1. Calidad de vida y agenda pública (indicador sintético 0-100);;;;;;;;;;;;;;;;
Satisfacción de vivir en su barrio ;;69,8;;73,6;;;;;;;;;;;;
Calidad de vida actual en su barrio ;;69,5;;76,9;;;;;;;;;;;;
Convivencia vecinal;;67,8;;74,0;;;;;;;;;;;;
1.7.2. Satisfacción con los servicios públicos (escala 0-10);;;;;;;;;;;;;;;;
Espacios verdes;;6,6;;7,3;;;;;;;;;;;;
Parques infantiles ;;6,3;;6,9;;;;;;;;;;;;
Centros culturales;;6,9;;6,9;;;;;;;;;;;;
Organización de fiestas y eventos populares;;6,7;;6,7;;;;;;;;;;;;
Instalaciones deportivas;;6,7;;6,9;;;;;;;;;;;;
Servicios sociales municipales;;6,6;;6,9;;;;;;;;;;;;
Desigualdad en las dotaciones de los barrios (% respuesta muy alta + alta);82,9%;;86,7%;;;;;;;;;;;;;
1.7.3. Principales problemas de la ciudadanía (% personas encuestadas);;;;;;;;;;;;;;;;
1º. Limpieza;41,1%;;44,8%;;;;;;;;;;;;;
2º. Contaminación del aire;15,0%;;39,9%;;;;;;;;;;;;;
3º. Tráfico / atascos;10,8%;;27,3%;;;;;;;;;;;;;
1.7.4. Percepción de seguridad (indicador sintético 0-100);;;;;;;;;;;;;;;;
Percepción de seguridad en Madrid;;69,0;;65,0;;;;;;;;;;;;
Percepción de seguridad en el barrio por el día;;75,4;;79,7;;;;;;;;;;;;
Percepción de seguridad en el barrio por la noche;;61,6;;66,3;;;;;;;;;;;;
1.7.5. Problemas que afectan a la seguridad en los espacios públicos del distrito (escala 0-10);;;;;;;;;;;;;;;;
1º. Residuos por excrementos de animales domésticos;;6,7;;6,1;;;;;;;;;;;;
2º. Conductas que ponen en riesgo la seguridad vial;;4,1;;4,4;;;;;;;;;;;;
3º. Molestias por ruido;;3,8;;3,7;;;;;;;;;;;;
1.7.6. Administración de la ciudad (% de respuesta);;;;;;;;;;;;;;;;
Medio de información de la actividad del Ayuntamiento: REDES SOCIALES;19,3%;;17,5%;;;;;;;;;;;;;
Preferencia de contacto con el Ayuntamiento: EN PERSONA;48,6%;;50,3%;;;;;;;;;;;;;
Percepción sobre la administración del Ayto. en los últimos 5 años: HA MEJORADO;35,3%;;28,7%;;;;;;;;;;;;;
Percepción sobre la administración del Ayto. en los últimos 5 años: HA EMPEORADO;14,5%;;14,7%;;;;;;;;;;;;;
1.7.7. Amigabilidad de la ciudad (% respuesta mucho + bastante);;;;;;;;;;;;;;;;
Madrid ciudad amigable con las personas lesbianas, gays, transexuales y bisexuales;70,8%;;61,1%;;;;;;;;;;;;;
1.8. INDICADORES DE VULNERABILIDAD;;;;;;;;;;;;;;;;
1.8.1. Índice de vulnerabilidad territorial (2018);;;;;;;;;;;;;;;;
Índice de vulnerabilidad territorial;;;;0,0059;;0,0062;;0,0063;;0,0057;;0,0061;;0,0056;;0,0055
Posición en el ranking de distritos y/o barrios de vulnerabilidad territorial;;;;21;;104;;97;;119;;106;;121;;124
1.8.2. Tasa de riesgo de pobleza o exclusión social. Indicador AROPE (2017. Encuesta de Condiciones de Vida);;;;;;;;;;;;;;;;
Tasa de riesgo de pobleza o exclusión social;26,0%;;;;;;;;;;;;;;;
Tasa de riesgo de pobleza o exclusión social HOMBRES;23,9%;;;;;;;;;;;;;;;
Tasa de riesgo de pobleza o exclusión social MUJERES;27,9%;;;;;;;;;;;;;;;
Tasa de riesgo de pobleza o exclusión social N. ESPAÑOLA (>16 años);22,0%;;;;;;;;;;;;;;;
Tasa de riesgo de pobleza o exclusión social N. EXTRANJERA UNIÓN EUROPEA (>16 años);18,1%;;;;;;;;;;;;;;;
