12. USERA. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;USERA;;Orcasitas;;Orcasur;;San Fermín;;Almendrales;;Moscardó;;Zofío;;Pradolongo;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;777,77;;135,64;;138,73;;147,54;;78,01;;90,88;;77,4;;109,57;
Posición en el ranking de distritos y/o barrios de vulnerabilidad territorial;;;;3;;25;;16;;19;;12;;17;;13;;8
1.8.2. Tasa de riesgo de pobleza o exclusión social. Indicador AROPE (2017. Encuesta de Condiciones de Vida);;;;;;;;;;;;;;;;;;
Tasa de riesgo de pobleza o exclusión social;26,0%;;;;;;;;;;;;;;;;;
Tasa de riesgo de pobleza o exclusión social HOMBRES;23,9%;;;;;;;;;;;;;;;;;
Tasa de riesgo de pobleza o exclusión social MUJERES;27,9%;;;;;;;;;;;;;;;;;
Tasa de riesgo de pobleza o exclusión social N. ESPAÑOLA (>16 años);22,0%;;;;;;;;;;;;;;;;;
Tasa de riesgo de pobleza o exclusión social N. EXTRANJERA UNIÓN EUROPEA (>16 años);18,1%;;;;;;;;;;;;;;;;;
Tasa de riesgo de pobleza o exclusión social N. EXTRANJERA RESTO DEL MUNDO (>16 años);63,2%;;;;;;;;;;;;;;;;;
1.8.3. Tasa de riesgo de pobreza de los hogares (2016. Estudio de Necesidades Sociales. Hogares);;;;;;;;;;;;;;;;;;
Pareja o matrimonio con hijos;;35,7%;;;;;;;;;;;;;;;;
Hogar formado por madre con hijos a cargo;;41,1%;;;;;;;;;;;;;;;;
Nacido en España;;26,4%;;;;;;;;;;;;;;;;
Nacido en un país fuera de la Unión Europea;;39,2%;;;;;;;;;;;;;;;;
1.8.4. Situación económica de los hogares (2016. Estudio de Necesidades Sociales. Hogares);;;;;;;;;;;;;;;;;;
Dificultad para llegar a fin de mes (% respuesta mucha dificultad + dificultad);;20,0%;;;;;;;;;;;;;;;;
Imposibilidad de hacer frente a un gasto imprevisto de 650€;;38,7%;;;;;;;;;;;;;;;;
