06. TETUÁN. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;TETUÁN;;Bellas Vistas;;Cuatro Caminos;;Castillejos;;Almenara;;Valdeacederas;;Berruguete;;;;;;;;;;;;;;;;;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Infantil (3 a 5 años);18,7%;86.684;19,0%;3.522;18,8%;655;18,8%;700;19,7%;395;17,4%;476;19,8%;676;19,7%;620;;;;;;;;;;;;;;;;;;;;;;;;
Primaria (6 a 11 años);38,4%;178.445;36,3%;6.717;36,3%;1.264;35,3%;1.312;37,2%;746;35,7%;979;36,4%;1.241;37,3%;1.175;;;;;;;;;;;;;;;;;;;;;;;;
Secundaria (12 a 15 años);24,7%;114.517;22,9%;4.248;23,0%;800;23,6%;878;19,1%;384;26,3%;722;21,9%;747;22,8%;717;;;;;;;;;;;;;;;;;;;;;;;;
Etapas educativas. Total niños;51,2%;237557;51,2%;9.483;51,8%;1806;52,0%;1.932;51,6%;1.035;50,7%;1.391;51,2%;1.747;49,9%;1572;;;;;;;;;;;;;;;;;;;;;;;;
0 a 2 años;18,2%;43.261;21,4%;2.034;21,9%;395;22,6%;437;23,6%;244;19,6%;273;21,3%;372;19,9%;313;;;;;;;;;;;;;;;;;;;;;;;;
Infantil (3 a 5 años);18,7%;44.354;18,5%;1.759;18,3%;330;18,6%;359;20,1%;208;16,8%;234;19,2%;335;18,6%;293;;;;;;;;;;;;;;;;;;;;;;;;
Primaria (6 a 11 años);38,5%;91.575;37,3%;3.535;35,5%;641;36,3%;702;37,9%;392;37,7%;525;37,8%;661;39,1%;614;;;;;;;;;;;;;;;;;;;;;;;;
Secundaria (12 a 15 años);24,6%;58.367;22,7%;2.155;24,4%;440;22,5%;434;18,5%;191;25,8%;359;21,7%;379;22,4%;352;;;;;;;;;;;;;;;;;;;;;;;;
Etapas educativas. Total niñas;48,8%;226.781;48,8%;9.027;48,2%;1678;48,0%;1.786;48,4%;971;49,3%;1.351;48,8%;1.665;50,1%;1576;;;;;;;;;;;;;;;;;;;;;;;;
0 a 2 años;18,3%;41.431;22,0%;1.989;22,1%;370;21,9%;391;24,4%;237;21,6%;292;22,6%;376;20,5%;323;;;;;;;;;;;;;;;;;;;;;;;;
Infantil (3 a 5 años);18,7%;42.330;19,5%;1.763;19,4%;325;19,1%;341;19,3%;187;17,9%;242;20,5%;341;20,7%;327;;;;;;;;;;;;;;;;;;;;;;;;
Primaria (6 a 11 años);38,3%;86.870;35,2%;3.182;37,1%;623;34,2%;610;36,5%;354;33,6%;454;34,8%;580;35,6%;561;;;;;;;;;;;;;;;;;;;;;;;;
Secundaria (12 a 15 años);24,8%;56.150;23,2%;2.093;21,5%;360;24,9%;444;19,9%;193;26,9%;363;22,1%;368;23,2%;365;;;;;;;;;;;;;;;;;;;;;;;;
1.5.2. Escolarización de alumnos por tipo de centro (año escolar 2017/18);100,0%;519.294;100%;12.731;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;43,1%;223.703;48,8%;6.209;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;17,9%;92.853;13,7%;1.739;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PÚBLICOS;39,0%;202.738;37,6%;4.783;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total alumnos extranjeros;10,6%;54.812;19,6%;2.501;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;34,9%;19.103;36,8%;920;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;9,1%;4.965;3,4%;86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PÚBLICOS;56,1%;30.744;59,8%;1.495;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total alumnos con necesidades de apoyo educativo;4,0%;20.898;6,7%;858;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;49,2%;10.285;70,6%;606;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;4,6%;963;0,5%;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PÚBLICOS;46,2%;9.650;28,9%;248;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.5.3. Nivel de estudios de la población ≥ 25 años (01/01/2019);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
No sabe leer ni escribir o sin estudios;4,9%;123.025;3,9%;4.883;3,6%;824;2,3%;653;2,1%;354;6,7%;1.194;5,3%;1.088;3,9%;770;;;;;;;;;;;;;;;;;;;;;;;;
Primaria incompleta;11,6%;291.746;10,6%;13.461;11,2%;2.591;6,7%;1.892;6,7%;1.139;15,2%;2.735;13,1%;2.675;12,4%;2.429;;;;;;;;;;;;;;;;;;;;;;;;
Bachiller Elemental, Graduado Escolar, ESO, Formación profesional 1º grado;26,4%;666.553;26,5%;33.602;29,5%;6.840;19,5%;5.533;18,6%;3.180;29,4%;5.268;32,3%;6.592;31,5%;6.189;;;;;;;;;;;;;;;;;;;;;;;;
Formación profesional 2º grado, Bachiller Superior o BUP;19,1%;482.262;18,2%;22.985;18,7%;4.339;17,3%;4.900;18,0%;3.081;17,0%;3.042;18,7%;3.821;19,4%;3.802;;;;;;;;;;;;;;;;;;;;;;;;
Titulados medios, diplomados, arquitecto o ingeniero técnico;9,5%;240.302;9,2%;11.711;9,1%;2.104;10,2%;2.893;10,6%;1.807;8,2%;1.466;8,4%;1.719;8,8%;1.722;;;;;;;;;;;;;;;;;;;;;;;;
Estudios superiores, licenciado, arquitecto o ingeniero superior, estudios superiores no universitarios, doctorado, estudios postgraduados;28,4%;717.868;31,4%;39.769;27,8%;6.437;43,6%;12.350;44,0%;7.531;23,6%;4.228;22,1%;4.516;24,0%;4.707;;;;;;;;;;;;;;;;;;;;;;;;
