01. CENTRO. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;
 ;CIUDAD;;CENTRO;;Palacio;;Embajadores;;Cortes;;Justicia;;Universidad;;Sol;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;522,82;;146,99;;103,37;;59,19;;73,94;;94,80;;44,53;
Entrevistados que han acudido a Servicios Sociales Municipales para solicitar atención social;;10,0%;;;;;;;;;;;;;;
1.9. SERVICIOS SOCIALES;;;;;;;;;;;;;;;;
1.9.1. Población en general (2017);;;;;;;;;;;;;;;;
Personas atendidas en la Unidad de Primera Atención en Centros de Servicios Sociales;;129.281 ;3,5%;4.558;;;;;;;;;;;;
Solicitudes tramitadas de Renta Mínima de Inserción;;6.969 ;5,0%;351;;;;;;;;;;;;
Perceptores de prestación de la Renta Mínima de Inserción;;16.219 ;5,1%;832;;;;;;;;;;;;
Beneficiarios de prestaciones sociales de carácter económico;;13.632 ;7,0%;957;;;;;;;;;;;;
Total prestaciones sociales de carácter económico (€);;7.440.030 €;6,6%;490.292 €;;;;;;;;;;;;
1.9.2. Personas Mayores (2017);;;;;;;;;;;;;;;;
Personas con Servicio de Ayuda a Domicilio (modalidad auxiliar de hogar);;71.238 ;3,2%;2.291;;;;;;;;;;;;
Hombres;;16.914 ;3,0%;502;;;;;;;;;;;;
Mujeres;;54.324 ;3,3%;1.789;;;;;;;;;;;;
Personas socias de los Centros Municipales de Mayores;;325.924 ;2,4%;7.697;;;;;;;;;;;;
Hombres;;124.008 ;2,1%;2.658;;;;;;;;;;;;
Mujeres ;;201.916 ;2,5%;5.039;;;;;;;;;;;;
1.9.3. Menores y Familia (2017);;;;;;;;;;;;;;;;
Familias atendidas por el Equipo de Trabajo con Menores y Familia (ETMF);;7.519;3,9%;294;;;;;;;;;;;;
Demandas de intervención en los Centros de Atención a la Infancia (CAI);;2.130;4,1%;87;;;;;;;;;;;;
Menores atendidos por el Servicio de Ayuda a domicilio a Menores y Familias (SAD) ;;1.361;3,2%;44;;;;;;;;;;;;
1.10. VIVIENDA;;;;;;;;;;;;;;;;
1.10.1. PLAN MAD-RE: PLAN ESTRATÉGICO MADRID RECUPERA (Programa de actuaciones 2018-2030);;;;;;;;;;;;;;;;
