15. CIUDAD LINEAL. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;CIUDAD LINEAL;;Ventas;;Pueblo Nuevo;;Quintana;;La Concepción;;San Pascual;;San Juan Bautista;;Colina;;Atalaya;;Costillares;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;60.445,52;;1.142,57;;319,80;;231,92;;72,31;;88,59;;105,27;;101,08;;55,97;;24,89;;142,72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;18,4%;97.728;28,9%;9.489;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PÚBLICOS;39,2%;208.595;22,8%;7.480;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total alumnos extranjeros;11,7%;62.112;12,3%;4.054;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;34,0%;21.142;49,6%;2.012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;9,9%;6.167;13,7%;556;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PÚBLICOS;56,0%;34.803;36,7%;1.486;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total alumnos con necesidades de apoyo educativo;4,7%;25.160;5,0%;1.641;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;44,4%;11.161;57,5%;944;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;4,3%;1.082;12,2%;201;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PÚBLICOS;51,3%;12.917;30,2%;496;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.5.3. Nivel de estudios de la población ≥ 25 años (01/01/2021);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
No sabe leer ni escribir o sin estudios;4,2%;108.764;3,7%;6.383;4,5%;1.742;5,0%;2.473;3,5%;690;2,5%;417;3,9%;553;1,5%;136;1,9%;92;0,5%;6;1,7%;274;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Primaria incompleta;10,5%;270.260;10,7%;18.331;13,5%;5.262;13,7%;6.814;10,9%;2.167;9,0%;1.501;9,6%;1.381;4,5%;425;4,1%;199;2,7%;31;3,4%;551;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bachiller Elemental, Graduado Escolar, ESO, Formación profesional 1º grado;26,4%;676.508;27,0%;46.346;32,4%;12.668;33,7%;16.734;29,7%;5.930;24,4%;4.088;21,6%;3.103;12,7%;1.192;13,4%;659;11,9%;139;11,3%;1.833;;;;;;;;;;;;;;;;;;;;;;;;;;;;
