07. CHAMBERÍ. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;CHAMBERÍ;;Gaztambide;;Arapiles;;Trafalgar;;Almagro;;Ríos Rosas;;Vallehermoso;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mujeres ;58,7%;55.522;57,6%;1.425;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.5. EDUCACIÓN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.5.1. Población en etapas educativas (01/01/2018);100,0%;464338;100%;15.158;100%;2.179;100%;2.614;100%;2.564;100%;2.319;100%;3.153;100%;2.329;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0 a 2 años;18,2%;84.692;21,1%;3.200;21,2%;461;21,3%;557;21,3%;547;20,7%;481;23,0%;726;18,4%;428;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Infantil (3 a 5 años);18,7%;86.684;19,2%;2.906;19,8%;431;20,2%;527;19,7%;506;18,9%;438;18,6%;585;18,0%;419;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Primaria (6 a 11 años);38,4%;178.445;36,3%;5.508;36,2%;789;35,0%;914;36,2%;927;36,8%;853;36,4%;1.149;37,6%;876;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Secundaria (12 a 15 años);24,7%;114.517;23,4%;3.544;22,9%;498;23,6%;616;22,8%;584;23,6%;547;22,0%;693;26,0%;606;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Etapas educativas. Total niños;51,2%;237557;50,7%;7.681;50,0%;1090;51,9%;1.356;51,6%;1.322;50,2%;1.163;49,8%;1.571;50,6%;1179;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0 a 2 años;18,2%;43.261;21,1%;1.618;21,3%;232;20,1%;272;22,6%;299;20,5%;238;23,1%;363;18,2%;214;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Infantil (3 a 5 años);18,7%;44.354;19,8%;1.520;19,7%;215;20,4%;277;20,2%;267;19,3%;224;19,4%;305;19,7%;232;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Primaria (6 a 11 años);38,5%;91.575;35,6%;2.736;37,7%;411;35,2%;477;33,8%;447;37,7%;438;35,1%;552;34,9%;411;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Secundaria (12 a 15 años);24,6%;58.367;23,5%;1.807;21,3%;232;24,3%;330;23,4%;309;22,6%;263;22,3%;351;27,3%;322;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Etapas educativas. Total niñas;48,8%;226.781;49,3%;7.477;50,0%;1089;48,1%;1.258;48,4%;1.242;49,8%;1.156;50,2%;1.582;49,4%;1150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0 a 2 años;18,3%;41.431;21,2%;1.582;21,0%;229;22,7%;285;20,0%;248;21,0%;243;22,9%;363;18,6%;214;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Infantil (3 a 5 años);18,7%;42.330;18,5%;1.386;19,8%;216;19,9%;250;19,2%;239;18,5%;214;17,7%;280;16,3%;187;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Primaria (6 a 11 años);38,3%;86.870;37,1%;2.772;34,7%;378;34,7%;437;38,6%;480;35,9%;415;37,7%;597;40,4%;465;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Secundaria (12 a 15 años);24,8%;56.150;23,2%;1.737;24,4%;266;22,7%;286;22,1%;275;24,6%;284;21,6%;342;24,7%;284;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
