19. VICÁLVARO. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;VICÁLVARO;;Casco Histórico de Vicálvaro;;Valdebernardo;;Valderrivas;;El Cañaveral;;;;;;;;;;;;;;;;;;;;;;;
Formación profesional 2º grado, Bachiller Superior o BUP;19,4%;497.456;21,1%;11.482;16,5%;4.460;25,0%;3.142;26,3%;3.054;25,9%;826;;;;;;;;;;;;;;;;;;;;;;
Titulaciones medias, diplomatura, arquitectura o ingeniería técnica;9,2%;236.829;9,1%;4.976;4,9%;1.336;10,9%;1.376;16,0%;1.866;12,5%;398;;;;;;;;;;;;;;;;;;;;;;
Estudios superiores, licenciatura, arquitectura superior, estudios superiores no universitarios, docturado, estudios de posgrado;30,2%;774.430;18,1%;9.860;9,8%;2.641;23,9%;3.012;28,4%;3.303;28,3%;904;;;;;;;;;;;;;;;;;;;;;;
Nivel de estudios desconocido y no consta;0,1%;2.829;0,0%;3;0,0%;2;0,0%;1;0,0%;0;0,0%;0;;;;;;;;;;;;;;;;;;;;;;
1.5.4. Programa de prevención y control del absentismo escolar;;2.567.076;1;54.421;1;27.014;1;12.586;1;11.632;1;3.189;;;;;;;;;;;;;;;;;;;;;;
Casos trabajados por el programa de absentismo municipal (curso escolar 2020-2021);100,0%;5.307;3,2%;170;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Casos trabajados HOMBRES;52,2%;2.772;57,6%;98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Casos trabajados MUJERES;47,8%;2.535;42,4%;72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.6. SALUD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.6.1. Hábitos y estilos de vida (2018. Estudio Madrid Salud);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sedentarismo;30,0%;;29,6%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sedentarismo HOMBRES ;25,2%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sedentarismo MUJERES ;34,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Consumo de tabaco diario;18,9%;;21,3%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Consumo de tabaco diario HOMBRES;20,2%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Consumo de tabaco diario MUJERES ;17,9%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Consumo de medicamentos ;66,3%;;68,7%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Consumo de medicamentos HOMBRES  ;62,4%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Consumo de medicamentos MUJERES ;69,7%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.6.2. Indicadores de nivel de salud (2018. Estudio Madrid Salud);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud  (% respuesta muy buena + buena);72,3%;;73,6%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud HOMBRES ;77,4%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Autopercepción de buen estado de salud MUJERES ;68,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
