09. MONCLOA-ARAVACA. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;MONCLOA-ARAVACA;;Casa de Campo;;Argüelles;;Ciudad Universitaria;;Valdezarza;;Valdemarín;;El Plantío;;Aravaca;;;;;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Infantil (3 a 5 años);18,6%;43.338;17,7%;1.538;20,1%;127;18,8%;231;17,3%;175;18,7%;369;16,4%;146;14,8%;40;8,5%;450;;;;;;;;;;;;
Primaria (6 a 11 años);38,4%;89.462;38,3%;3.336;34,4%;218;40,0%;491;36,5%;369;38,2%;752;42,9%;383;44,1%;119;19,0%;1.004;;;;;;;;;;;;
Secundaria (12 a 15 años);25,9%;60.333;27,5%;2.397;24,2%;153;23,9%;293;29,0%;293;23,6%;466;28,5%;254;30,4%;82;16,2%;856;;;;;;;;;;;;
Etapas educativas. Total niñas;48,9%;222.826;48,9%;8.331;49,6%;624;49,1%;1.185;50,5%;1.032;47,7%;1.795;48,9%;853;49,9%;269;48,8%;2.573;;;;;;;;;;;;
0 a 2 años;17,2%;38.372;16,0%;1.329;16,0%;100;19,8%;235;14,5%;150;19,1%;342;13,0%;111;12,6%;34;13,9%;357;;;;;;;;;;;;
Infantil (3 a 5 años);18,4%;41.086;18,7%;1.560;21,2%;132;20,5%;243;18,7%;193;18,8%;338;17,9%;153;19,0%;51;17,5%;450;;;;;;;;;;;;
Primaria (6 a 11 años);38,4%;85.561;38,3%;3.193;37,2%;232;36,5%;433;38,7%;399;37,2%;668;38,9%;332;37,2%;100;40,0%;1.029;;;;;;;;;;;;
Secundaria (12 a 15 años);25,9%;57.807;27,0%;2.249;25,6%;160;23,1%;274;28,1%;290;24,9%;447;30,1%;257;31,2%;84;28,6%;737;;;;;;;;;;;;
1.5.2. Escolarización del alumnado por tipo de centro (año escolar 2019/20);100,0%;531.839;100%;29.757;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;42,4%;225.516;30,3%;9.031;;;;;;;;;;;;;;;;;;;;;;;;;;
