20. SAN BLAS-CANILLEJAS. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;SAN BLAS-CANILLEJAS;;Simancas;;Hellín;;Amposta;;Arcos;;Rosas;;Rejas;;Canillejas;;El Salvador;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;2.229;;227,63;;55,06;;37,03;;130,52;;929,65;;501,57;;159,77;;188,01;
Calidad de vida actual en su barrio ;;69,5;;65,2;;;;;;;;;;;;;;;;
Convivencia vecinal;;67,8;;67,7;;;;;;;;;;;;;;;;
1.7.2. Satisfacción con los servicios públicos (escala 0-10);;;;;;;;;;;;;;;;;;;;
Espacios verdes;;6,6;;6,0;;;;;;;;;;;;;;;;
Parques infantiles ;;6,3;;5,5;;;;;;;;;;;;;;;;
Centros culturales;;6,9;;6,8;;;;;;;;;;;;;;;;
Organización de fiestas y eventos populares;;6,7;;6,5;;;;;;;;;;;;;;;;
Instalaciones deportivas;;6,7;;6,2;;;;;;;;;;;;;;;;
Servicios sociales municipales;;6,6;;6,7;;;;;;;;;;;;;;;;
Desigualdad en las dotaciones de los barrios (% respuesta muy alta + alta);82,9%;;75,5%;;;;;;;;;;;;;;;;;
1.7.3. Principales problemas de la ciudadanía (% personas encuestadas);;;;;;;;;;;;;;;;;;;;
1º. Limpieza;41,1%;;40,6%;;;;;;;;;;;;;;;;;
2º. Contaminación del aire;15,0%;;11,9%;;;;;;;;;;;;;;;;;
3º. Tráfico / atascos;10,8%;;0,0%;;;;;;;;;;;;;;;;;
1.7.4. Percepción de seguridad (indicador sintético 0-100);;;;;;;;;;;;;;;;;;;;
Percepción de seguridad en Madrid;;69,0;;63,8;;;;;;;;;;;;;;;;
Percepción de seguridad en el barrio por el día;;75,4;;71,0;;;;;;;;;;;;;;;;
Percepción de seguridad en el barrio por la noche;;61,6;;59,4;;;;;;;;;;;;;;;;
1.7.5. Problemas que afectan a la seguridad en los espacios públicos del distrito (escala 0-10);;;;;;;;;;;;;;;;;;;;
1º. Residuos por excrementos de animales domésticos;;6,7;;7,1;;;;;;;;;;;;;;;;
2º. Consumo o menudeo de drogas;;4,0;;4,2;;;;;;;;;;;;;;;;
3º. Conductas que ponen en riesgo la seguridad vial ;;4,1;;3,9;;;;;;;;;;;;;;;;
1.7.6. Administración de la ciudad (% de respuesta);;;;;;;;;;;;;;;;;;;;
Medio de información de la actividad del Ayuntamiento: REDES SOCIALES;19,3%;;11,2%;;;;;;;;;;;;;;;;;
Preferencia de contacto con el Ayuntamiento: EN PERSONA;48,6%;;49,7%;;;;;;;;;;;;;;;;;
Percepción sobre la administración del Ayto. en los últimos 5 años: HA MEJORADO;35,3%;;39,9%;;;;;;;;;;;;;;;;;
Percepción sobre la administración del Ayto. en los últimos 5 años: HA EMPEORADO;14,5%;;11,9%;;;;;;;;;;;;;;;;;
1.7.7. Amigabilidad de la ciudad (% respuesta mucho + bastante);;;;;;;;;;;;;;;;;;;;
Madrid ciudad amigable con las personas lesbianas, gays, transexuales y bisexuales;70,8%;;65,0%;;;;;;;;;;;;;;;;;
1.8. INDICADORES DE VULNERABILIDAD;;;;;;;;;;;;;;;;;;;;
1.8.1. Índice de vulnerabilidad territorial (2018);;;;;;;;;;;;;;;;;;;;
Índice de vulnerabilidad territorial;;;;0,0085;;0,0088;;0,0096;;0,0099;;0,0088;;0,0073;;0,0077;;0,0088;;0,0073
Posición en el ranking de distritos y/o barrios de vulnerabilidad territorial;;;;8;;38;;24;;18;;36;;74;;60;;37;;73
1.8.2. Tasa de riesgo de pobleza o exclusión social. Indicador AROPE (2017. Encuesta de Condiciones de Vida);;;;;;;;;;;;;;;;;;;;
Tasa de riesgo de pobleza o exclusión social;26,0%;;;;;;;;;;;;;;;;;;;
