14. MORATALAZ. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;MORATALAZ;;Pavones;;Horcajo;;Marroquina;;Media Legua;;Fontarrón;;Vinateros;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;610,32;;100,97;;74,59;;179,01;;99,9;;96,46;;59,4;;;;;;;;;
Percepción de seguridad en el barrio por la noche;;60,2;;61,0;;;;;;;;;;;;;;;;;;;;
1.7.5. Problemas que afectan a la seguridad en los espacios públicos del distrito (escala 0-10);;;;;;;;;;;;;;;;;;;;;;;;
1º Excrementos animales domésticos;;6,6;;5,0;;;;;;;;;;;;;;;;;;;;
2º Botellón;;4,1;;3,7;;;;;;;;;;;;;;;;;;;;
3º Estacionamientos indebidos;;4,0;;3,3;;;;;;;;;;;;;;;;;;;;
1.7.6. Administración de la ciudad de Madrid (% de respuesta);;;;;;;;;;;;;;;;;;;;;;;;
Medio de información de la actividad del Ayuntamiento: REDES SOCIALES;20,9%;;17,7%;;;;;;;;;;;;;;;;;;;;;
Preferencia de contacto con el Ayuntamiento: EN PERSONA;46,0%;;39,7%;;;;;;;;;;;;;;;;;;;;;
Percepción sobre la administración del Ayto. en los últimos 5 años: HA MEJORADO;38,6%;;40,4%;;;;;;;;;;;;;;;;;;;;;
Percepción sobre la administración del Ayto. en los últimos 5 años: HA EMPEORADO;16,6%;;13,5%;;;;;;;;;;;;;;;;;;;;;
1.7.7. Amigabilidad de la ciudad de Madrid (% respuesta mucho + bastante);;;;;;;;;;;;;;;;;;;;;;;;
Madrid ciudad amigable con las personas lesbianas, gays, transexuales y bisexuales;76,9%;;81,8%;;;;;;;;;;;;;;;;;;;;;
1.8. INDICADORES DE VULNERABILIDAD;;;;;;;;;;;;;;;;;;;;;;;;
1.8.1. Índice de vulnerabilidad territorial (2019);;;;;;;;;;;;;;;;;;;;;;;;
Índice de vulnerabilidad territorial;;;;0,0078;;0,0080;;0,0072;;0,0074;;0,0080;;0,0084;;0,0079;;;;;;;;
Posición en el ranking de distritos y/o barrios de vulnerabilidad territorial;;;;13;;51;;72;;64;;50;;40;;52;;;;;;;;
1.8.2. Tasa de riesgo de pobreza o exclusión social. Indicador AROPE (2018. Encuesta de Condiciones de Vida);;;;;;;;;;;;;;;;;;;;;;;;
Tasa de riesgo de pobreza o exclusión social;25,5%;;;;;;;;;;;;;;;;;;;;;;;
