11. CARABANCHEL. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;CARABANCHEL;;Comillas;;Opañel;;San Isidro;;Vista Alegre;;Puerta Bonita;;Buenavista;;Abrantes;;;;;;;;;;;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Infantil (3 a 5 años);18,5%;84.424;17,5%;6.442;19,5%;486;18,3%;727;18,3%;945;18,2%;1.060;17,8%;914;16,4%;1.512;16,2%;798;;;;;;;;;;;;;;;;;;
Primaria (6 a 11 años);38,4%;175.023;38,9%;14.290;35,6%;885;36,8%;1.464;38,0%;1.962;36,9%;2.151;37,9%;1.943;43,0%;3.975;38,8%;1.910;;;;;;;;;;;;;;;;;;
Secundaria (12 a 15 años);25,9%;118.140;27,5%;10.090;24,2%;601;26,4%;1.050;26,0%;1.344;27,0%;1.572;27,5%;1.411;28,5%;2.632;30,1%;1.480;;;;;;;;;;;;;;;;;;
Etapas educativas. Total niños;51,1%;233.089;50,8%;18.670;51,4%;1.277;51,1%;2.035;51,2%;2.642;51,4%;2.995;49,8%;2.553;51,0%;4.710;49,9%;2.458;;;;;;;;;;;;;;;;;;
0 a 2 años;17,1%;39.956;15,8%;2.955;21,1%;269;18,7%;381;17,7%;468;16,5%;493;16,6%;424;11,6%;548;7,6%;372;;;;;;;;;;;;;;;;;;
Infantil (3 a 5 años);18,6%;43.338;17,7%;3.301;18,8%;240;18,8%;383;18,4%;487;18,7%;559;17,4%;445;16,9%;794;8,0%;393;;;;;;;;;;;;;;;;;;
Primaria (6 a 11 años);38,4%;89.462;39,2%;7.313;35,7%;456;36,7%;747;38,7%;1.022;37,8%;1.131;37,5%;957;43,4%;2.043;19,4%;957;;;;;;;;;;;;;;;;;;
Secundaria (12 a 15 años);25,9%;60.333;27,3%;5.101;24,4%;312;25,7%;524;25,2%;665;27,1%;812;28,5%;727;28,1%;1.325;14,9%;736;;;;;;;;;;;;;;;;;;
Etapas educativas. Total niñas;48,9%;222.826;49,2%;18.072;48,6%;1.209;48,9%;1.947;48,8%;2.519;48,6%;2.827;50,2%;2.576;49,0%;4.528;50,1%;2.466;;;;;;;;;;;;;;;;;;
0 a 2 años;17,2%;38.372;16,4%;2.965;20,3%;245;18,5%;360;17,5%;442;19,3%;546;17,0%;437;12,6%;571;14,8%;364;;;;;;;;;;;;;;;;;;
Infantil (3 a 5 años);18,4%;41.086;17,4%;3.141;20,3%;246;17,7%;344;18,2%;458;17,7%;501;18,2%;469;15,9%;718;16,4%;405;;;;;;;;;;;;;;;;;;
Primaria (6 a 11 años);38,4%;85.561;38,6%;6.977;35,5%;429;36,8%;717;37,3%;940;36,1%;1.020;38,3%;986;42,7%;1.932;38,6%;953;;;;;;;;;;;;;;;;;;
Secundaria (12 a 15 años);25,9%;57.807;27,6%;4.989;23,9%;289;27,0%;526;27,0%;679;26,9%;760;26,6%;684;28,9%;1.307;30,2%;744;;;;;;;;;;;;;;;;;;
1.5.2. Escolarización del alumnado por tipo de centro (año escolar 2019/20);100,0%;531.839;100%;36.091;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;42,4%;225.516;50,9%;18.386;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
