04. SALAMANCA. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;SALAMANCA;;Recoletos;;Goya;;Fuente del Berro;;Guindalera;;Lista;;Castellana;;;;;;;;;;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.5.3. Nivel de estudios de la población ≥ 25 años (01/01/2021);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
No sabe leer ni escribir o sin estudios;4,2%;108.764;1,4%;1.595;0,8%;96;1,4%;333;1,7%;295;1,6%;529;1,2%;210;1,0%;132;;;;;;;;;;;;;;;;;
Primaria incompleta;10,5%;270.260;4,5%;5.281;2,8%;343;4,2%;1.023;6,2%;1.070;4,9%;1.661;4,4%;748;3,3%;436;;;;;;;;;;;;;;;;;
Bachiller Elemental, Graduado Escolar, ESO, Formación profesional 1º grado;26,4%;676.508;13,7%;16.156;10,6%;1.325;13,6%;3.284;17,2%;2.966;14,3%;4.842;13,0%;2.205;11,5%;1.534;;;;;;;;;;;;;;;;;
Formación profesional 2º grado, Bachiller Superior o BUP;19,4%;497.456;18,0%;21.251;15,9%;1.982;17,3%;4.179;19,7%;3.394;19,1%;6.465;17,5%;2.962;17,0%;2.269;;;;;;;;;;;;;;;;;
Titulaciones medias, diplomatura, arquitectura o ingeniería técnica;9,2%;236.829;10,3%;12.077;9,0%;1.119;9,8%;2.365;11,4%;1.961;11,3%;3.805;9,8%;1.664;8,7%;1.163;;;;;;;;;;;;;;;;;
Estudios superiores, licenciatura, arquitectura superior, estudios superiores no universitarios, docturado, estudios de posgrado;30,2%;774.430;52,0%;61.275;60,8%;7.577;53,4%;12.876;43,6%;7.491;48,7%;16.464;53,8%;9.092;58,3%;7.775;;;;;;;;;;;;;;;;;
Nivel de estudios desconocido y no consta;0,1%;2.829;0,1%;149;0,1%;13;0,1%;31;0,1%;18;0,1%;30;0,2%;29;0,2%;28;;;;;;;;;;;;;;;;;
1.5.4. Programa de prevención y control del absentismo escolar;;2.567.076;1;117.784;1;12.455;1;24.091;1;17.195;1;33.796;1;16.910;1;13.337;;;;;;;;;;;;;;;;;
Casos trabajados por el programa de absentismo municipal (curso escolar 2020-2021);100,0%;5.307;1,0%;51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Casos trabajados HOMBRES;52,2%;2.772;54,9%;28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Casos trabajados MUJERES;47,8%;2.535;45,1%;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.6. SALUD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
