CodigoEstacion,NombreEstacion,Utilizaciones2014,Utilizaciones2015,Utilizaciones2016,Utilizaciones2017,Utilizaciones2018,Utilizaciones2019,Utilizaciones2020,Utilizaciones2021,Utilizaciones2022,Utilizaciones2023
709,Cartagena,3170129,2927882,2950458,5204419,2984527,3041941,1723570,1949194,2462081,2768940
711,Gregorio Marañón,20311984,19429186,21918554,23210492,24564372,26684802,13694551,17670735,22552261,26315249
712,Alonso Cano,3300233,3302285,3877193,3720944,4115482,4205261,2073078,2499458,3066824,3420384
714,Islas Filipinas,6985754,6375956,7196544,7679311,7872824,8149542,4263389,5356990,6625330,7378087
716,Francos Rodríguez,5251381,5216676,5727545,5949151,4855186,5180832,2950803,3771484,4544206,4920097
717,Valdezarza,1759959,1832044,1886517,2004636,2320664,2471796,1456575,1851195,2228737,2456248
718,Antonio Machado,2011684,1999047,2048053,2183773,2488684,2650423,1474409,1899514,2358258,2608047
719,Peñagrande,3357527,3378530,3478559,3672938,3915916,4285404,2476757,3028773,3742597,4357841
720,Avenida de la Ilustración,2621574,2563220,2619882,2804745,2623827,2639201,1423969,1728884,2193121,2506607
721,Lacoma,2203618,2217782,2206300,2393165,2236352,2393059,1195485,1456885,1792951,1938060
722,Arroyofresno,11000000,11000000,11000000,11000000,11000000,182653,229330,337584,453098,583477
723,Pitis,985316,999812,962332,1139419,1382414,1207336,575225,612409,811494,980273
751,Estadio Metropolitano,4006383,4230624,3504763,4943248,10723301,12161558,3224728,4300584,5520225,6251458
754,Barrio del Puerto,809138,1033123,1037737,1225475,1136197,1455346,836282,1078259,1367637,1621882
755,Coslada Central,2506950,3045725,2872240,1452518,3279701,4144771,2349297,2785882,3436358,3819565
756,La Rambla,1497617,1977795,2700561,2191202,1820724,2245773,1270722,1801886,1984904,2197900
757,San Fernando,966930,1124948,350862,1314097,1249504,1595887,961428,948995,1596441,2261304
758,Jarama,464424,545501,41854,691007,670215,843277,442898,463992,461865,11000000
759,Henares,480122,541783,40817,665198,631931,800356,485935,462358,442088,11000000
760,Hospital del Henares,319532,364502,26398,405334,351971,446101,142901,227228,228069,11000000
802,Colombia,11896078,11855676,12090839,13710286,13290627,13762504,7614716,8798480,11665594,12821856
803,Pinar del Rey,2959382,2940388,3035721,2594091,2912460,3275759,2089259,2153834,1825827,3092827
805,Feria de Madrid,4170497,4049314,4145369,2234024,4398652,5327896,1842552,1908480,2588300,3460794
806,Aeropuerto T1-T2-T3,4728101,4964544,4969240,4119896,3738740,5589650,1361652,1498629,3428592,4419003
807,Barajas,3457945,3489010,3571433,2902986,3412353,3972730,2078965,2592191,3124116,4033171
808,Aeropuerto T-4,3296727,3369195,3552903,2824406,2913657,3865600,1324372,1729986,2750734,3712724
901,Herrera Oria,3760593,3717600,3632718,4037600,3409645,3296107,1664114,1965559,2490028,2760275
902,Barrio del Pilar,7209734,6813689,6854641,7255767,6170848,6412859,3493730,4225431,5186266,5729896
903,Ventilla,1801095,1820320,1883743,2020108,2218515,2536670,1533288,1828377,2314189,2696714
905,Duque de Pastrana,1117174,1106370,1109751,19367040,1273993,1265334,659953,757599,1062990,1204877
906,Pío XII,2265492,2968979,3016463,3220643,3183524,3227257,1727085,1908982,2512512,2703299
908,Concha Espina,2118290,2548508,2564141,9475054,2979497,3066356,1751736,2015704,2454192,2567761
909,Cruz del Rayo,1642418,2227911,2270581,3735840,2895923,2851568,1661653,1676629,2162795,2221694
913,Ibiza,3058610,2919333,3041353,3206246,3636807,3858375,1930299,2428457,3054712,3381068
915,Estrella,3764412,3741426,3777671,7845465,3673677,3773317,2105292,2531558,3125677,3515359
916,Vinateros,3252568,3253906,3423664,3664624,3745955,3870138,2058112,2577631,3295290,3790475
917,Artilleros,4116643,4073146,4208732,4355516,4465626,4755196,2655219,3267306,4002141,4499709
918,Pavones,4718258,4692750,4844122,4986895,4196718,4080481,2244593,2736802,3430666,4089007
919,Valdebernardo,2663156,2845399,2940868,3093594,3818904,3913082,2088200,2567757,3208215,3633413
920,Vicálvaro,3084824,2677414,2634804,2768197,3846570,3617731,1766726,2235714,3062210,3389343
921,San Cipriano,1498848,1481734,1496426,1567418,1200159,1405967,945847,1171851,1511127,1746855
922,Puerta de Arganda,8474328,8077095,8359448,8901293,8051096,8271166,4683901,5863526,7766636,9026695
951,Mirasierra,1674901,1571512,1658978,1906499,1958411,1986285,1122129,1365009,1666726,1822515
952,Paco de Lucía,11000000,946459,973069,1118600,1610930,1823268,1050740,1342729,1693092,1895468
1001,Fuencarral,2442538,2443898,2471665,2660266,2689751,2985950,1738306,2109309,2682035,3192514
1002,Begoña,6682609,7263984,7415815,7876703,7299890,7575733,3882155,4943875,6594998,7905484
1005,Cuzco,6536459,6585291,6854573,3398794,8307616,7947256,3584608,4384009,5834463,6730935
1006,Santiago Bernabéu,7047476,7175736,7331870,7982842,9185082,9415455,3989082,4784869,7208885,8829076
1013,Lago,1825290,1809937,1860174,2004374,1718898,2235363,998121,1580090,2317488,2545252
1014,Batán,3476704,3463703,3622000,3770607,3691683,3928319,2143010,2761043,3425246,3817576
1016,Colonia Jardín,8514872,8665468,8879940,2814247,10275128,11596467,6218234,7775374,10069439,11452530
1018,Aviación Española,1842742,2129898,2280873,2459123,2483875,3010189,1786688,2164440,2771591,3152272
1019,Cuatro Vientos,2497488,3007702,3096930,24894140,3447998,4293683,2175972,2661058,3254109,3884308
1020,Joaquín Vilumbrales,2111698,2464386,2633123,2737418,2744390,3214858,1616538,2132029,2812815,3281744
1021,Puerta del Sur,10870953,11796031,12512874,13119882,10690571,11775867,6687082,9279478,12413861,14465644
1051,Tres Olivos,9164495,9441571,9865018,10511516,14548748,13623682,6373043,7678416,10131056,13065636
1052,Montecarmelo,1749754,1736751,1793139,1922496,2054021,2145648,1199569,1497868,1731289,1970768
1053,Las Tablas,2937175,3167392,3389528,3561984,3756024,3814764,1878084,2243167,2845237,3391928
1054,Ronda de la Comunicación,1246992,1311869,1424791,1440455,1569291,1603928,498925,445968,722414,894571
1055,La Granja,1080931,1113170,1239913,1360863,1481940,1496275,712866,812668,1120436,1602983
1056,La Moraleja,1818163,1996710,2212569,2533989,2721346,2623350,1136435,1298682,1731139,2258078
1057,Marqués de la Valdavia,1826494,1903495,2140959,2401853,2639830,2723419,1460106,1793503,2269011,3229689
1058,Manuel de Falla,1127062,1168402,1331105,1494644,1592918,1632659,832274,1067454,1352879,2036654
1059,Baunatal,1110842,1144357,1277620,1423347,1507014,1521349,766385,961340,1242715,1796952
1060,Reyes Católicos,1054054,1108226,1260812,1400746,1533858,1547622,822798,1022007,1348595,1932655
1061,Hospital Infanta Sofía,1597590,1652629,1839324,2017776,2126286,2174880,1142919,1415716,1801114,2368234
1102,Abrantes,1467022,1405002,1444968,1576479,1460425,1614280,1051824,1278061,1545329,1793203
1103,Pan Bendito,934677,904273,962724,1055961,1037919,1156186,712629,845508,1042563,1181831
1104,San Francisco,1359776,1313678,1482353,1698380,1560021,1992875,1297727,1593949,1944328,2227485
1105,Carabanchel Alto,1026326,1013248,1067108,3412868,1675695,1961905,1297198,1602522,1979843,2253186
1106,La Peseta,1338546,1320776,1363382,1520148,1723013,1764949,1019096,1314439,1657500,1920168
1107,La Fortuna,626940,642325,709772,972090,962413,1222673,827779,1010654,1232313,1473539
1202,Parque de Lisboa,1682693,1720160,1821241,1847448,1517619,2065181,1264177,1641098,2099756,2495502
1203,Alcorcón Central,3171768,3235825,3354989,3415472,2712776,3678775,2251539,2948869,3819580,4547358
1204,Parque Oeste,1987897,2019446,2050794,1883624,1485319,1924434,1188055,1646062,2114608,2487293
1205,Universidad Rey Juan Carlos,1711490,2286327,2222130,2358155,1979209,2547759,1301570,1818444,2565732,2896772
1206,Móstoles Central,3310719,2944337,3894950,4241787,4526089,4488823,2587255,3156797,4053153,4798088
1207,Pradillo,2375014,2022480,2675729,2874593,2699234,3006212,1832677,2298067,2995296,3623118
1208,Hospital de Móstoles,2121894,1946426,2434288,2583495,2504554,2690171,1558832,2148128,2575146,3036034
1209,Manuela Malasaña,1047009,1034823,1427748,1573105,1579557,1699083,1022946,1104940,1722330,2166969
1210,Loranca,2099893,2282027,2386218,2599366,2668317,2838579,1687691,1831020,2790026,3233801
1212,Hospital de Fuenlabrada,2175139,2289591,2449189,2629170,2652435,2678221,1184371,1423892,2375477,2758524
1213,Parque Europa,1707823,1712415,1944831,2036042,1999808,2068408,1168712,1238822,1958634,2360634
1214,Fuenlabrada Central,3881595,3774652,4177815,4441378,4612880,4664331,2591880,2664753,4159676,4901935
1215,Parque de los Estados,1897462,1953972,2151581,2276573,2324222,2371947,1386541,1485725,2391078,2922004
1217,Arroyo Culebro,770856,571967,600447,674418,660994,676232,385049,426250,685938,816775
1218,Conservatorio,1122060,1274385,1340167,2504922,1485650,1517945,808667,1227073,1375686,1665366
1219,Alonso de Mendoza,1296320,1525791,1674639,1810985,1808496,1880042,1119535,1414695,1880828,2281014
1220,Getafe Central,4224714,5008282,5614050,6069578,6109136,6445709,3717054,4289802,6003329,7620284
1221,Juan de la Cierva,2517903,3000304,3301689,3505176,3719982,3828312,2219000,2775456,3723530,4567560
1222,El Casar,1697518,2045525,2307530,3358414,2240337,2878136,1759289,2435264,3119123,3574864
1223,Los Espartales,1232781,1137818,1201640,1338870,1064785,1325997,748177,966190,1239923,1501642
1224,El Bercial,972728,1056184,1139004,1174854,994610,1258199,797351,1040043,1373373,1746528
1225,El Carrascal,2629534,2906838,3239741,5404890,2708882,3438609,1883019,2457703,3145284,3926788
1226,Julián Besteiro,2104665,2275017,2393295,2363499,1883214,2434633,1411830,1907942,2502663,3079234
1227,Casa del Reloj,1889863,2005234,2101127,11114562,1766713,2307625,1325885,1775659,2344975,2984546
1228,Hospital Severo Ochoa,1434316,1509419,1552039,1580590,1288138,1626980,928778,1277841,1602357,2010815
1229,Leganés Central,3124982,3347825,3561543,3656081,2916391,3796971,2243486,3122976,3924202,4723851
1230,San Nicasio,1695654,1856625,2063635,2191817,1758071,2303313,1343771,1825184,2350226,2843401
